periodo;cole_area_ubicacion;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_depto_ubicacion;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_mcpio_presentacion;estu_mcpio_reside;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20241;RURAL;270670000157;270670000157;SUCRE;SABATINA;SAMPUÉS;OFICIAL;INST EDUC SAN LUIS BELTRAN;INST EDUC SAN LUIS BELTRAN;1;A-;2;1;1;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;36;165;26;40;25;33
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;3;A1;3;3;2;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;COROZAL;56;277;49;56;61;51
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;1;2;1;;;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;38;165;31;26;37;32
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;2;1;No Navega Internet;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;35;196;32;45;44;35
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;1;A-;2;1;1;Más de 3 horas;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;COROZAL;32;164;27;38;33;30
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;2;2;30 minutos o menos;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;43;211;33;41;42;46
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;1;A-;2;2;2;;;SUCRE;SUCRE;SINCELEJO;SINCELEJO;39;211;38;38;49;44
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;2;A-;1;1;1;Más de 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;COROZAL;41;170;47;29;28;34
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A1;1;1;1;No Navega Internet;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;35;156;48;27;21;36
20241;URBANO;170742000071;170742000071;SUCRE;NOCHE;SAN LUIS DE SINCÉ;OFICIAL;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;2;A-;2;2;2;Entre 1 y 3 horas;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAN LUIS DE SINCÉ;42;225;47;46;45;46
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;3;3;3;Más de 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;51;285;44;55;63;63
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;3;2;Entre 30 y 60 minutos;30 minutos o menos;ANTIOQUIA;SUCRE;MEDELLÍN;SAMPUÉS;45;233;45;46;53;43
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;3;3;2;Entre 30 y 60 minutos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;48;250;44;51;56;47
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;1;1;1;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;39;175;39;28;33;39
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;2;1;;;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;42;203;24;38;49;39
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;1;1;No Navega Internet;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;42;198;43;44;35;36
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;2;1;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;39;196;30;40;44;37
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A1;3;2;2;30 minutos o menos;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;51;244;49;54;39;51
